datetime;Hours;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;ELE;LV;LT
01/01/2013;00 - 01;231,62;231,54;231,54;231,54;231,54;231,54;104,66;104,66;246,01;246,01;246,01;231,54;231,54;231,54;232,14;232,14;;182,16
01/01/2013;01 - 02;227,29;205,21;205,21;205,21;205,21;205,21;82,5;82,5;245,94;245,94;245,94;229,83;229,83;229,83;228,34;228,34;;176,19
01/01/2013;02 - 03;215,73;182,31;182,31;182,31;182,31;182,31;63,41;63,41;243,11;243,11;243,11;229,53;229,53;229,53;182,31;182,31;;178,51
01/01/2013;03 - 04;207,97;162,69;162,69;162,69;162,69;162,69;0,75;0,75;235,2;235,2;235,2;229,08;229,08;229,08;162,69;162,69;;177,91
01/01/2013;04 - 05;201,11;166,87;166,87;166,87;166,87;166,87;14,99;14,99;227,81;227,81;227,81;228,48;228,48;228,48;166,87;166,87;;173,51
01/01/2013;05 - 06;207,67;190,29;190,29;190,29;190,29;190,29;170,15;170,15;223,26;223,26;223,26;228,11;228,11;228,11;190,29;190,29;;175,6
01/01/2013;06 - 07;214,76;208,34;208,34;208,34;208,34;208,34;208,34;208,34;225,5;225,5;225,5;228,56;228,56;228,56;229,08;229,08;;167,61
01/01/2013;07 - 08;213,57;208,94;208,94;208,94;208,94;208,94;208,94;208,94;221,85;221,85;221,85;229,23;229,23;229,23;230,65;230,65;;212,97
01/01/2013;08 - 09;212,15;207,37;207,37;207,37;207,37;207,37;207,37;207,37;226,02;226,02;226,02;228,48;228,48;228,48;230,35;230,35;;211,4
01/01/2013;09 - 10;211,1;204,02;204,02;204,02;204,02;204,02;204,02;204,02;223,79;223,79;223,79;228,41;228,41;228,41;234,97;234,97;;208,87
01/01/2013;10 - 11;228,63;210,51;210,51;210,51;210,51;210,51;210,51;210,51;239,6;239,6;239,6;230,5;230,5;230,5;237,44;237,44;;209,39
01/01/2013;11 - 12;235,35;225,8;225,8;225,8;225,8;225,8;225,8;225,8;241,02;241,02;241,02;236,76;236,76;236,76;240,49;240,49;;209,31
01/01/2013;12 - 13;239,9;225,8;225,8;225,8;225,8;225,8;225,8;225,8;245,12;245,12;245,12;247,95;247,95;247,95;240,87;240,87;;209,76
01/01/2013;13 - 14;242,06;231,39;231,39;231,39;231,39;231,39;231,39;231,39;245,72;245,72;245,72;248,63;248,63;248,63;241,46;241,46;;209,76
01/01/2013;14 - 15;243,4;241,39;241,39;241,39;241,39;241,39;241,39;241,39;244,22;244,22;244,22;251,46;251,46;251,46;246,39;246,39;;210,51
01/01/2013;15 - 16;251,01;250,94;250,94;250,94;250,94;250,94;250,94;250,94;250,94;250,94;250,94;253,62;253,62;253,62;255,04;255,04;;210,95
01/01/2013;16 - 17;260,34;260,78;260,78;260,78;260,78;260,78;256,83;260,78;260,78;260,78;260,78;260,78;260,78;260,78;260,78;260,78;;211,18
01/01/2013;17 - 18;270,18;270,33;270,33;270,33;270,33;270,33;270,33;270,33;270,33;270,33;270,33;270,33;270,33;270,33;270,33;270,33;;211,1
01/01/2013;18 - 19;273,39;272,94;272,94;272,94;272,94;272,94;276,9;276,9;272,94;272,94;272,94;272,94;272,94;272,94;272,94;272,94;;212
01/01/2013;19 - 20;271,3;271,08;271,08;271,08;271,08;271,08;271,08;271,08;271,08;271,08;271,08;271,08;271,08;271,08;271,08;271,08;;209,16
01/01/2013;20 - 21;264,74;264,59;264,59;264,59;264,59;264,59;270,78;264,59;264,59;264,59;264,59;264,59;264,59;264,59;264,59;264,59;;208,79
01/01/2013;21 - 22;256,68;256,68;256,68;256,68;256,68;256,68;250,56;256,68;256,68;256,68;256,68;256,68;256,68;256,68;256,68;256,68;;171,79
01/01/2013;22 - 23;258,55;258,47;258,47;258,47;258,47;258,47;258,47;258,47;258,47;258,47;258,47;258,47;258,47;258,47;258,47;258,47;;177,54
01/01/2013;23 - 00;242,81;242,06;242,06;242,06;242,06;242,06;189,02;189,02;246,16;246,16;246,16;242,06;242,06;242,06;242,06;242,06;;176,64
02/01/2013;00 - 01;247,28;244,97;244,97;244,97;244,97;244,97;176,12;176,12;254,07;254,07;254,07;244,97;244,97;244,97;244,97;244,97;;223,86
02/01/2013;01 - 02;243,63;241,31;241,31;241,31;241,31;241,31;111,3;111,3;251,16;251,16;251,16;241,31;241,31;241,31;241,31;241,31;;194,1
02/01/2013;02 - 03;237,44;237,44;237,44;237,44;237,44;237,44;122,71;122,71;243,03;243,03;243,03;237,44;237,44;237,44;237,44;237,44;;223,79
02/01/2013;03 - 04;234,75;239,97;239,97;239,97;239,97;239,97;88,1;88,1;239,97;239,97;239,97;239,97;239,97;239,97;239,97;239,97;;194,69
02/01/2013;04 - 05;242,88;245,94;245,94;245,94;245,94;245,94;89,44;89,44;245,94;245,94;245,94;245,94;245,94;245,94;245,94;245,94;;224,01
02/01/2013;05 - 06;256,31;261,23;261,23;261,23;261,23;261,23;221,32;221,32;261,23;250,79;261,23;261,23;261,23;261,23;261,23;261,23;;328,59
02/01/2013;06 - 07;270,63;271,23;271,23;271,23;271,23;273,99;231,47;271,23;271,23;271,23;271,23;271,23;271,23;271,23;273,99;273,99;;173,51
02/01/2013;07 - 08;286,37;289,8;289,8;289,8;289,8;317,03;331,05;291,29;289,8;277,64;289,8;289,8;289,8;289,8;317,03;317,03;;221,7
02/01/2013;08 - 09;291,59;294,05;294,05;294,05;294,05;294,05;294,05;294,05;294,05;281,89;294,05;294,05;294,05;294,05;294,8;294,8;;221,77
