datetime;Hours;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;LV;LT
01/01/2014;00 - 01;212,81;213,86;213,86;213,86;213,86;213,86;113,01;113,01;216,84;216,84;216,84;213,86;213,86;213,86;213,86;239,14;239,14
01/01/2014;01 - 02;208,93;209,45;209,45;209,45;209,45;209,45;96,67;96,67;214,9;214,9;214,9;209,45;209,45;209,45;209,45;238,84;238,84
01/01/2014;02 - 03;202,59;204,23;204,23;204,23;204,23;204,23;90,18;90,18;211,99;211,99;211,99;204,23;204,23;204,23;204,23;204,23;204,23
01/01/2014;03 - 04;194,31;195,51;195,51;195,51;195,51;195,51;87,27;87,27;206,1;206,1;206,1;195,51;195,51;195,51;195,51;195,51;195,51
01/01/2014;04 - 05;187,67;193,79;193,79;193,79;193,79;193,79;86,97;86,97;193,79;193,79;193,79;193,79;193,79;193,79;193,79;193,79;193,79
01/01/2014;05 - 06;190,81;196,77;196,77;196,77;196,77;196,77;84,66;84,66;196,77;196,77;196,77;196,77;196,77;196,77;196,77;196,77;196,77
01/01/2014;06 - 07;194,91;199,61;199,61;199,61;199,61;199,61;73,47;73,47;199,61;199,61;199,61;199,61;199,61;199,61;199,61;199,61;199,61
01/01/2014;07 - 08;198,56;202,44;202,44;202,44;202,44;202,44;152,99;152,99;202,44;202,44;202,44;202,44;202,44;202,44;202,44;202,44;202,44
01/01/2014;08 - 09;198,94;201,17;201,17;201,17;201,17;201,17;189,46;201,17;201,17;201,17;201,17;201,17;201,17;201,17;201,17;201,17;201,17
01/01/2014;09 - 10;196,92;197,97;197,97;197,97;197,97;197,97;189,84;197,97;197,97;197,97;197,97;197,97;197,97;197,97;207,59;261,44;261,44
01/01/2014;10 - 11;205,5;205,8;205,8;205,8;205,8;205,8;183,72;205,8;205,8;205,8;205,8;205,8;205,8;205,8;228,85;261,52;261,52
01/01/2014;11 - 12;212,36;212,07;212,07;212,07;212,07;212,07;199,61;212,07;212,07;212,07;212,07;212,07;212,07;212,07;239,37;261,59;261,59
01/01/2014;12 - 13;213,78;213,93;213,93;213,93;213,93;213,93;200,43;213,93;213,93;213,93;213,93;213,93;213,93;213,93;244,29;261,59;261,59
01/01/2014;13 - 14;215,05;214,97;214,97;214,97;214,97;214,97;214,97;214,97;214,97;214,97;214,97;214,97;214,97;214,97;248,17;261,52;261,52
01/01/2014;14 - 15;216,84;216,76;216,76;216,76;216,76;216,76;216,76;216,76;216,76;216,76;216,76;216,76;216,76;216,76;256,89;261,52;261,52
01/01/2014;15 - 16;219,3;219,23;219,23;219,23;219,23;220,12;207,96;219,23;219,23;219,23;219,23;219,23;219,23;219,23;261,82;261,82;261,82
01/01/2014;16 - 17;234,82;234,14;234,14;234,14;234,14;241,53;239,51;234,14;234,14;234,14;234,14;234,14;234,14;234,14;264,73;264,73;264,73
01/01/2014;17 - 18;239,81;239,37;239,37;239,37;239,37;248,09;245,26;245,26;239,37;239,37;239,37;239,37;239,37;239,37;261,82;261,82;261,82
01/01/2014;18 - 19;236,53;235,86;235,86;235,86;235,86;253,39;240,34;240,34;235,86;235,86;235,86;235,86;235,86;235,86;261,74;261,74;261,74
01/01/2014;19 - 20;228,55;228,48;228,48;228,48;228,48;232,43;228,48;228,48;228,48;228,48;228,48;228,48;228,48;228,48;261,15;268,61;268,61
01/01/2014;20 - 21;218,63;218,85;218,85;218,85;218,85;218,85;213,63;218,85;218,85;218,85;218,85;218,85;218,85;218,85;255,18;261,37;261,37
01/01/2014;21 - 22;216,32;217,73;217,73;217,73;217,73;226,54;149,86;217,73;217,73;217,73;217,73;217,73;217,73;217,73;242,2;246,23;246,23
01/01/2014;22 - 23;211,92;214,23;214,23;214,23;214,23;214,23;112,63;214,23;214,23;214,23;214,23;214,23;214,23;214,23;214,23;214,23;214,23
01/01/2014;23 - 00;201,77;207,66;207,66;207,66;207,66;207,66;96,6;118,6;207,66;207,66;207,66;207,66;207,66;207,66;207,66;239,07;239,07
02/01/2014;00 - 01;202,89;208,11;208,11;208,11;208,11;208,11;57,14;57,14;208,11;208,11;208,11;208,11;208,11;208,11;208,11;246,23;246,23
02/01/2014;01 - 02;194,39;200,95;200,95;200,95;200,95;200,95;52,36;52,36;200,95;200,95;200,95;200,95;200,95;200,95;200,95;217,06;217,06
02/01/2014;02 - 03;189,31;196,7;196,7;196,7;196,7;196,7;14,32;14,32;196,7;196,7;196,7;196,7;196,7;196,7;196,7;216,91;216,91
02/01/2014;03 - 04;186,63;198,12;198,12;198,12;198,12;198,12;-0,37;-0,37;198,12;198,12;198,12;198,12;198,12;198,12;198,12;216,99;216,99
02/01/2014;04 - 05;192,3;202,52;202,52;202,52;202,52;202,52;0,45;0,45;202,52;202,52;202,52;202,52;202,52;202,52;202,52;268,61;268,61
02/01/2014;05 - 06;208,86;211,92;211,92;211,92;211,92;216,91;52,66;52,66;211,92;211,92;211,92;211,92;211,92;211,92;216,91;216,91;216,91
02/01/2014;06 - 07;218,03;218,78;218,78;218,78;218,78;294,49;88,02;218,78;218,78;218,78;218,78;218,78;218,78;218,78;294,49;294,49;294,49
02/01/2014;07 - 08;223,48;222,73;222,73;222,73;222,73;292,77;158,96;222,73;222,73;222,73;222,73;222,73;222,73;222,73;292,77;308,59;308,59
02/01/2014;08 - 09;228,25;227,06;227,06;227,06;227,06;272,26;227,06;227,06;227,06;227,06;227,06;227,06;227,06;227,06;272,26;297,4;297,4
02/01/2014;09 - 10;229,44;228,48;228,48;228,48;228,48;263,31;228,48;228,48;228,48;228,48;228,48;228,48;228,48;228,48;263,31;304,93;304,93
02/01/2014;10 - 11;231,16;230,19;230,19;230,19;230,19;258,24;230,19;230,19;230,19;230,19;230,19;230,19;230,19;230,19;258,24;300,98;300,98
02/01/2014;11 - 12;233,03;231,53;231,53;231,53;231,53;263,16;231,53;231,53;231,53;231,53;231,53;231,53;231,53;231,53;263,16;296,28;296,28
02/01/2014;12 - 13;232,13;231,01;231,01;231,01;231,01;262,04;231,01;231,01;231,01;231,01;231,01;231,01;231,01;231,01;262,04;299,64;299,64
02/01/2014;13 - 14;233,17;231,53;231,53;231,53;231,53;267,04;231,53;231,53;231,53;231,53;231,53;231,53;231,53;231,53;267,04;298;298
