datetime;Hours;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;LV;LT;FRE
01/01/2015;00 - 01;204,53;203,79;203,79;203,79;203,79;203,79;186,22;203,79;203,94;203,94;203,94;209,59;209,59;209,59;203,79;223,51;223,51;
01/01/2015;01 - 02;198,58;173,94;173,94;173,94;173,94;173,94;136,13;136,13;201,48;201,48;201,48;208,78;208,78;208,78;173,94;220,24;220,24;
01/01/2015;02 - 03;195,23;143,87;143,87;143,87;143,87;143,87;119,39;119,39;200,44;200,44;200,44;208,26;208,26;208,26;143,87;220,02;220,02;
01/01/2015;03 - 04;193,15;131,44;131,44;131,44;131,44;131,44;108,67;108,67;199,7;199,7;199,7;207,96;207,96;207,96;131,44;219,57;219,57;
01/01/2015;04 - 05;192,85;130,48;130,48;130,48;130,48;130,48;111,27;111,27;199,55;199,55;199,55;208,03;208,03;208,03;130,48;130,48;130,48;
01/01/2015;05 - 06;195,3;134,5;134,5;134,5;134,5;134,5;107,92;107,92;200,74;200,74;200,74;208,93;208,93;208,93;134,5;227,16;227,16;
01/01/2015;06 - 07;199,55;187,79;187,79;187,79;187,79;187,79;80,09;80,09;201,48;201,48;201,48;211,31;211,31;211,31;187,79;227,09;227,09;
01/01/2015;07 - 08;199,62;199,47;199,47;199,47;199,47;199,47;89,39;89,39;199,47;199,47;199,47;211,98;211,98;211,98;199,47;227,16;227,16;
01/01/2015;08 - 09;200,66;200,74;200,74;200,74;200,74;200,74;92,22;92,22;200,74;200,74;200,74;211,9;211,9;211,9;200,74;227,23;227,23;
01/01/2015;09 - 10;199,03;195,68;195,68;195,68;195,68;195,68;104,5;104,5;200,81;200,81;200,81;212,05;212,05;212,05;195,68;195,68;195,68;
01/01/2015;10 - 11;199,1;193,96;193,96;193,96;193,96;193,96;109,26;109,26;201,41;201,41;201,41;212,13;212,13;212,13;193,96;193,96;193,96;
01/01/2015;11 - 12;199,25;190,24;190,24;190,24;190,24;190,24;119,68;119,68;201,93;201,93;201,93;212,35;212,35;212,35;190,24;190,24;190,24;
01/01/2015;12 - 13;199,4;192,85;192,85;192,85;192,85;192,85;119,68;119,68;201,63;201,63;201,63;212,65;212,65;212,65;192,85;192,85;192,85;
01/01/2015;13 - 14;197,91;189,2;189,2;189,2;189,2;189,2;119,46;189,2;201,04;201,04;201,04;212,87;212,87;212,87;189,2;189,2;189,2;
01/01/2015;14 - 15;201,04;199,32;199,32;199,32;199,32;199,32;119,39;199,32;200,81;200,81;200,81;213,24;213,24;213,24;199,32;335,01;335,01;
01/01/2015;15 - 16;205,58;204,76;204,76;204,76;204,76;204,76;119,83;204,76;204,76;204,76;204,76;213,61;213,61;213,61;204,76;335,53;335,53;
01/01/2015;16 - 17;210,56;210,79;210,79;210,79;210,79;210,79;178,11;210,79;210,79;210,79;210,79;212,72;212,72;212,72;210,79;342,38;342,38;
01/01/2015;17 - 18;210,93;211,08;211,08;211,08;211,08;211,08;200,22;211,08;211,08;211,08;211,08;212,5;212,5;212,5;211,08;342,38;342,38;
01/01/2015;18 - 19;210,04;209,74;209,74;209,74;209,74;209,74;196,2;209,74;209,74;209,74;209,74;212,27;212,27;212,27;209,74;342,45;342,45;
01/01/2015;19 - 20;207,73;206,99;206,99;206,99;206,99;206,99;178,48;206,99;206,99;206,99;206,99;212,2;212,2;212,2;206,99;342,53;342,53;
01/01/2015;20 - 21;204,98;204,38;204,38;204,38;204,38;204,38;119,76;119,76;204,38;204,38;204,38;213,09;213,09;213,09;204,38;335,53;335,53;
01/01/2015;21 - 22;201,93;201,41;201,41;201,41;201,41;201,41;104,8;104,8;201,41;201,41;201,41;214,21;214,21;214,21;201,41;234,98;234,98;
01/01/2015;22 - 23;200,37;196,5;196,5;196,5;196,5;196,5;92,59;92,59;200,96;200,96;200,96;213,32;213,32;213,32;196,5;208,78;208,78;
01/01/2015;23 - 00;193,22;136,65;136,65;136,65;136,65;136,65;0,3;0,3;199,7;199,7;199,7;212,05;212,05;212,05;136,65;208,93;208,93;
02/01/2015;00 - 01;184,53;132,35;132,35;132,35;132,35;132,35;-90,14;-90,14;198,82;198,82;198,82;209,62;209,62;209,62;132,35;209,17;209,17;
02/01/2015;01 - 02;165,48;71,61;71,61;71,61;71,61;71,61;-146,12;-146,12;196,59;196,59;196,59;210,06;210,06;210,06;71,61;71,61;71,61;
02/01/2015;02 - 03;155,8;57,09;57,09;57,09;57,09;57,09;-144,19;-144,19;195,03;195,03;195,03;209,54;209,54;209,54;57,09;57,09;57,09;
02/01/2015;03 - 04;138,23;80,62;80,62;80,62;80,62;80,62;-233,81;-233,81;190,56;190,56;190,56;209,84;209,84;209,84;80,62;80,62;80,62;
02/01/2015;04 - 05;138,38;172,25;172,25;172,25;172,25;172,25;-233,81;-233,81;184,16;184,16;184,16;210,21;210,21;210,21;172,25;172,25;172,25;
02/01/2015;05 - 06;182,75;194,28;194,28;194,28;194,28;194,28;-100,34;-100,34;194,28;194,28;194,28;211,78;211,78;211,78;194,28;194,28;194,28;
