;Hours;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;LV;LT;FRE
01/01/2016;00 - 01;122,29;122,29;122,29;122,29;122,29;122,29;122,29;122,29;122,29;122,29;122,29;122,29;122,29;122,29;122,29;209,74;209,74;
01/01/2016;01 - 02;119,68;119,68;119,68;119,68;119,68;119,68;119,68;119,68;119,68;119,68;119,68;119,68;119,68;119,68;119,68;119,68;119,68;
01/01/2016;02 - 03;117,44;117,44;117,44;117,44;117,44;117,44;117,44;117,44;117,44;117,44;117,44;117,44;117,44;117,44;117,44;117,44;117,44;
01/01/2016;03 - 04;116,18;116,18;116,18;116,18;116,18;116,18;116,18;116,18;116,18;116,18;116,18;116,18;116,18;116,18;116,18;116,18;116,18;
01/01/2016;04 - 05;115,43;115,43;115,43;115,43;115,43;115,43;115,43;115,43;115,43;115,43;115,43;115,43;115,43;115,43;115,43;115,43;115,43;
01/01/2016;05 - 06;117,52;117,52;117,52;117,52;117,52;117,52;117,52;117,52;117,52;117,52;117,52;117,52;117,52;117,52;117,52;117,52;117,52;
01/01/2016;06 - 07;114,61;114,61;114,61;114,61;114,61;114,61;114,61;114,61;114,61;114,61;114,61;114,61;114,61;114,61;114,61;114,61;114,61;114,61
01/01/2016;07 - 08;114,68;114,68;114,68;114,68;114,68;114,68;114,68;114,68;114,68;114,68;114,68;114,68;114,68;114,68;114,68;114,68;114,68;114,68
01/01/2016;08 - 09;113,34;113,34;113,34;113,34;113,34;113,34;113,34;113,34;113,34;113,34;113,34;113,34;113,34;113,34;113,34;131,1;131,1;113,34
01/01/2016;09 - 10;114,83;114,83;114,83;114,83;114,83;114,83;114,83;114,83;114,83;114,83;114,83;114,83;114,83;114,83;114,83;261,15;261,15;114,83
01/01/2016;10 - 11;117,74;117,74;117,74;117,74;117,74;117,74;117,74;117,74;117,74;117,74;117,74;117,74;117,74;117,74;117,74;261,6;261,6;117,74
01/01/2016;11 - 12;120,5;120,5;120,5;120,5;120,5;120,5;120,5;120,5;120,5;120,5;120,5;120,5;120,5;120,5;120,5;261,38;261,38;120,5
01/01/2016;12 - 13;123,11;123,11;123,11;123,11;123,11;123,11;123,11;123,11;123,11;123,11;123,11;123,11;123,11;123,11;123,11;261,45;261,45;123,11
01/01/2016;13 - 14;124,76;124,76;124,76;124,76;124,76;124,76;124,76;124,76;124,76;124,76;124,76;124,76;124,76;124,76;124,76;261,53;261,53;124,76
01/01/2016;14 - 15;128,11;128,11;128,11;128,11;128,11;128,11;128,11;128,11;128,11;128,11;128,11;128,11;128,11;128,11;128,11;261,67;261,67;128,11
01/01/2016;15 - 16;134,31;134,31;134,31;134,31;134,31;134,31;134,31;134,31;134,31;134,31;134,31;134,31;134,31;134,31;134,31;297,04;297,04;134,31
01/01/2016;16 - 17;137,96;137,74;137,74;138,26;138,26;138,26;138,26;138,26;138,26;138,26;138,26;137,74;137,74;137,74;138,26;297,04;297,04;138,26
01/01/2016;17 - 18;140,28;138,11;138,11;142,59;142,59;142,59;142,59;142,59;142,59;142,59;142,59;138,11;138,11;138,11;142,59;297,04;297,04;142,59
01/01/2016;18 - 19;138,93;138,93;138,93;139,38;139,38;139,38;139,38;139,38;139,38;139,38;139,38;138,93;138,93;138,93;139,38;297,04;297,04;139,38
01/01/2016;19 - 20;133,71;133,78;133,78;133,78;133,78;133,78;133,78;133,78;133,78;133,78;133,78;133,78;133,78;133,78;133,78;266,3;266,3;133,78
01/01/2016;20 - 21;131,84;131,99;131,99;131,99;131,99;131,99;131,99;131,99;131,99;131,99;131,99;131,99;131,99;131,99;131,99;261,75;261,75;131,99
01/01/2016;21 - 22;129,61;129,31;129,31;129,31;129,31;143,93;129,31;129,31;129,31;129,31;129,31;129,31;129,31;129,31;143,93;249,44;249,44;143,93
01/01/2016;22 - 23;125,65;124,98;124,98;124,98;124,98;164,45;124,98;124,98;124,98;124,98;124,98;124,98;124,98;124,98;164,45;202,06;202,06;
01/01/2016;23 - 00;121,1;121,25;121,25;121,25;121,25;121,25;121,25;121,25;121,25;121,25;121,25;121,25;121,25;121,25;121,25;149,83;149,83;
02/01/2016;00 - 01;121,47;122,88;122,88;122,88;122,88;122,88;5;122,88;122,88;122,88;122,88;122,88;122,88;122,88;122,88;122,88;122,88;
02/01/2016;01 - 02;118,26;118,56;118,56;118,56;118,56;118,56;73,86;118,56;118,56;118,56;118,56;118,56;118,56;118,56;118,56;149,3;149,3;
02/01/2016;02 - 03;112,07;112,14;112,14;112,14;112,14;112,14;112,14;112,14;112,14;112,14;112,14;112,14;112,14;112,14;112,14;134,82;134,82;
02/01/2016;03 - 04;98,34;98,41;98,41;98,41;98,41;98,41;95,28;98,41;98,41;98,41;98,41;98,41;98,41;98,41;98,41;143,33;143,33;
02/01/2016;04 - 05;94,68;94,68;94,68;94,68;94,68;94,68;84,09;94,68;94,68;94,68;94,68;94,68;94,68;94,68;94,68;144,89;144,89;
02/01/2016;05 - 06;96,55;96,55;96,55;96,55;96,55;96,55;88,86;96,55;96,55;96,55;96,55;96,55;96,55;96,55;96,55;143,33;143,33;
02/01/2016;06 - 07;101,32;101,4;101,4;101,4;101,4;101,4;94,16;101,4;101,4;101,4;101,4;101,4;101,4;101,4;101,4;151,39;151,39;
02/01/2016;07 - 08;107,22;106,32;106,32;106,32;106,32;129,6;103,19;106,32;106,32;106,32;106,32;106,32;106,32;106,32;129,6;266,21;266,21;129,6
02/01/2016;08 - 09;117,44;117,14;117,14;117,14;117,14;144,3;120,27;117,14;117,14;117,14;117,14;117,14;117,14;117,14;144,3;276,66;276,66;144,3
02/01/2016;09 - 10;117,44;117,29;117,29;117,29;117,29;148,92;117,29;117,29;117,29;117,29;117,29;117,29;117,29;117,29;148,92;276,43;276,43;148,92
02/01/2016;10 - 11;119,3;119,15;119,15;119,15;119,15;148,55;119,15;119,15;119,15;119,15;119,15;119,15;119,15;119,15;148,55;276,66;276,66;148,55
02/01/2016;11 - 12;119,9;120,42;120,42;120,42;120,42;120,42;119,23;120,42;120,42;119,23;120,42;120,42;120,42;120,42;120,42;276,73;276,73;120,42
02/01/2016;12 - 13;118,56;118,41;118,41;118,41;118,41;118,41;118,41;118,41;118,41;118,41;118,41;119,83;119,83;119,83;118,41;276,73;276,73;118,41
02/01/2016;13 - 14;119,45;119,23;119,23;119,23;119,23;149;119,23;119,23;119,23;119,23;119,23;119,97;119,97;119,97;149;276,73;276,73;149
02/01/2016;14 - 15;120,87;120,27;120,27;120,27;120,27;207,12;119,3;120,27;120,27;119,3;120,27;120,35;120,35;120,35;207,12;296,95;296,95;207,12
02/01/2016;15 - 16;125,2;123,63;123,63;123,63;123,63;297,62;119,3;123,63;123,63;119,3;123,63;123,63;123,63;123,63;297,62;297,62;297,62;297,62
02/01/2016;16 - 17;130,87;129;129;129;129;297,62;121,02;129;129;121,02;129;129;129;129;297,62;297,62;297,62;297,62
02/01/2016;17 - 18;133,7;130,72;130,72;130,72;130,72;297,47;123,18;130,72;130,72;123,18;130,72;130,72;130,72;130,72;297,47;297,47;297,47;297,47
02/01/2016;18 - 19;131,39;129,6;129,6;129,6;129,6;297,62;122,14;129,6;129,6;122,14;129,6;129,6;129,6;129,6;297,62;297,62;297,62;297,62
02/01/2016;19 - 20;126,54;126,47;126,47;126,47;126,47;259,5;119,97;126,47;126,47;119,97;126,47;126,47;126,47;126,47;259,5;297,4;297,4;259,5
02/01/2016;20 - 21;124,6;123,56;123,56;123,56;123,56;224,43;120,5;123,56;123,56;120,5;123,56;123,56;123,56;123,56;224,43;297,1;297,1;224,43
02/01/2016;21 - 22;120,42;118,11;118,11;118,11;118,11;233,98;118,11;118,11;118,11;118,11;118,11;118,11;118,11;118,11;233,98;266,36;266,36;233,98
02/01/2016;22 - 23;119,6;118,03;118,03;118,03;118,03;202,42;118,03;118,03;118,03;118,03;118,03;118,03;118,03;118,03;202,42;217,86;217,86;202,42
02/01/2016;23 - 00;115,35;114,23;114,23;114,23;114,23;176,16;114,23;114,23;114,23;114,23;114,23;114,23;114,23;114,23;176,16;202,35;202,35;176,16
03/01/2016;00 - 01;119,45;119,3;119,3;119,3;119,3;133,93;52,15;119,3;119,3;119,3;119,3;119,3;119,3;119,3;133,93;188,92;188,92;133,93
03/01/2016;01 - 02;116,32;118,41;118,41;118,41;118,41;118,41;-0,07;118,41;118,41;118,41;118,41;118,41;118,41;118,41;118,41;144,82;144,82;118,41
03/01/2016;02 - 03;116,99;117,59;117,59;117,59;117,59;117,59;1,72;117,59;117,59;117,59;117,59;117,59;117,59;117,59;117,59;139,07;139,07;117,59
03/01/2016;03 - 04;116,02;116,32;116,32;116,32;116,32;116,32;33,65;116,32;116,32;116,32;116,32;116,32;116,32;116,32;116,32;144,82;144,82;116,32
03/01/2016;04 - 05;114,08;117,06;117,06;117,06;117,06;117,06;30,74;117,06;117,06;107,66;117,06;117,06;117,06;117,06;117,06;143,4;143,4;117,06
03/01/2016;05 - 06;116,24;118,11;118,11;118,11;118,11;118,11;50,44;118,11;118,11;111,62;118,11;118,11;118,11;118,11;118,11;145,19;145,19;118,11
03/01/2016;06 - 07;112,36;111,77;111,77;111,77;111,77;111,77;5,6;111,77;111,77;111,77;111,77;118,56;118,56;118,56;111,77;266,21;266,21;111,77
03/01/2016;07 - 08;115,8;115,87;115,87;115,87;115,87;115,87;31,86;115,87;115,87;115,87;115,87;118,18;118,18;118,18;115,87;297,55;297,55;115,87
03/01/2016;08 - 09;117,74;117,81;117,81;117,81;117,81;117,81;67,97;117,81;117,81;117,81;117,81;119,83;119,83;119,83;117,81;335,82;335,82;117,81
03/01/2016;09 - 10;121,09;122,06;122,06;122,06;122,06;122,06;118,78;122,06;122,06;120,65;122,06;122,06;122,06;122,06;122,06;336,42;336,42;122,06
03/01/2016;10 - 11;125,94;127,96;127,96;127,96;127,96;127,96;124,6;127,96;127,96;122,66;127,96;127,96;127,96;127,96;127,96;335,75;335,75;127,96
03/01/2016;11 - 12;131,17;133,85;133,85;133,85;133,85;133,85;123,03;133,85;133,85;123,03;133,85;133,85;133,85;133,85;133,85;335,82;335,82;133,85
03/01/2016;12 - 13;130,94;133,85;133,85;133,85;133,85;133,85;122,14;133,85;133,85;122,14;133,85;133,85;133,85;133,85;133,85;335,82;335,82;133,85
03/01/2016;13 - 14;128,18;131,76;131,76;131,76;131,76;131,76;121,99;131,76;131,76;121,99;131,76;131,76;131,76;131,76;131,76;335,82;335,82;131,76
03/01/2016;14 - 15;129,9;131,76;131,76;131,76;131,76;174,59;121,99;131,76;131,76;121,99;131,76;131,76;131,76;131,76;174,59;335,75;335,75;174,59
03/01/2016;15 - 16;130,35;131,32;131,32;131,32;131,32;202,94;121,62;131,32;131,32;121,62;131,32;131,32;131,32;131,32;202,94;336,5;336,5;202,94
03/01/2016;16 - 17;138,93;138,85;138,85;138,85;138,85;214,28;122,74;138,85;138,85;122,74;138,85;138,85;138,85;138,85;214,28;336,05;336,05;214,28
03/01/2016;17 - 18;143,03;142,58;142,58;142,58;142,58;202,35;128,48;142,58;142,58;128,48;142,58;142,58;142,58;142,58;202,35;336,05;336,05;202,35
03/01/2016;18 - 19;140,57;140,72;140,72;140,72;140,72;190,78;125,57;140,72;140,72;125,57;140,72;140,72;140,72;140,72;190,78;373,35;373,35;190,78
03/01/2016;19 - 20;136,84;138,1;138,1;138,1;138,1;186,45;122,96;138,1;138,1;122,96;138,1;138,1;138,1;138,1;186,45;297,47;297,47;186,45
03/01/2016;20 - 21;133,55;134,9;134,9;134,9;134,9;146,09;122,59;134,9;134,9;122,59;134,9;134,9;134,9;134,9;146,09;297,62;297,62;146,09
03/01/2016;21 - 22;130,72;132,21;132,21;132,21;132,21;164,29;122,59;132,21;132,21;122,59;132,21;132,21;132,21;132,21;164,29;266,21;266,21;164,29
03/01/2016;22 - 23;125,27;127,06;127,06;127,06;127,06;156,53;127,06;127,06;127,06;121,32;127,06;127,06;127,06;127,06;156,53;237,93;237,93;156,53
03/01/2016;23 - 00;116,92;117,44;117,44;117,44;117,44;117,44;107,66;117,44;117,44;117,44;117,44;118,48;118,48;118,48;117,44;194,44;194,44;117,44
04/01/2016;00 - 01;118,11;119,08;119,08;119,08;119,08;119,08;102,81;119,08;119,08;118,33;119,08;119,08;119,08;119,08;119,08;226,59;226,59;119,08
04/01/2016;01 - 02;116,09;117,96;117,96;117,96;117,96;117,96;95,28;117,96;117,96;116,32;117,96;117,96;117,96;117,96;117,96;223,16;223,16;117,96
04/01/2016;02 - 03;114,98;116,09;116,09;116,09;116,09;116,09;78,79;116,09;116,09;115,12;116,09;116,09;116,09;116,09;116,09;194,59;194,59;116,09
04/01/2016;03 - 04;115,2;116,17;116,17;116,17;116,17;116,17;28,87;116,17;116,17;116,09;116,17;116,17;116,17;116,17;116,17;194,59;194,59;116,17
04/01/2016;04 - 05;117,36;118,78;118,78;118,78;118,78;118,78;23,88;118,78;118,78;118,33;118,78;118,78;118,78;118,78;118,78;235,47;235,47;118,78
04/01/2016;05 - 06;121,02;125,05;125,05;125,05;125,05;202,64;64,69;125,05;125,05;118,63;125,05;125,05;125,05;125,05;202,64;382,83;382,83;202,64
04/01/2016;06 - 07;135,05;134,37;134,37;134,37;134,37;253,9;134,37;134,37;134,37;122,36;134,37;134,37;134,37;134,37;253,9;382,9;382,9;253,9
04/01/2016;07 - 08;150,71;145,79;145,79;145,79;145,79;257,18;145,79;145,79;145,79;144,3;145,79;145,79;145,79;145,79;257,18;382,98;382,98;257,18
04/01/2016;08 - 09;161,61;152,88;152,88;152,88;152,88;257,11;152,88;152,88;152,88;152,88;152,88;152,88;152,88;152,88;257,11;382,98;382,98;257,11
04/01/2016;09 - 10;156,46;152,88;152,88;152,88;152,88;254,05;152,88;152,88;152,88;152,88;152,88;152,88;152,88;152,88;254,05;382,98;382,98;254,05
04/01/2016;10 - 11;156,83;152,73;152,73;152,73;152,73;254,27;152,73;152,73;152,73;152,73;152,73;152,73;152,73;152,73;254,27;382,98;382,98;254,27
04/01/2016;11 - 12;154,74;150,27;150,27;150,27;150,27;254,27;150,27;150,27;150,27;150,27;150,27;150,27;150,27;150,27;254,27;382,98;382,98;254,27
04/01/2016;12 - 13;152,43;148,1;148,1;148,1;148,1;254,27;148,1;148,1;148,1;148,1;148,1;148,1;148,1;148,1;254,27;382,98;382,98;254,27
04/01/2016;13 - 14;152,36;147,95;147,95;147,95;147,95;256,74;147,95;147,95;147,95;147,95;147,95;147,95;147,95;147,95;256,74;382,98;382,98;256,74
04/01/2016;14 - 15;153,77;148,33;148,33;148,33;148,33;256,96;148,33;148,33;148,33;148,33;148,33;148,33;148,33;148,33;256,96;382,98;382,98;256,96
04/01/2016;15 - 16;156,31;149,89;149,89;149,89;149,89;257,33;149,89;149,89;149,89;149,89;149,89;149,89;149,89;149,89;257,33;382,98;382,98;257,33
04/01/2016;16 - 17;168,7;155,79;155,79;164,59;164,59;257,11;155,12;164,59;164,59;155,12;155,12;155,79;155,79;155,79;257,11;382,98;382,98;257,11
04/01/2016;17 - 18;176,31;154,89;154,89;212,49;212,49;256,96;157,21;212,49;212,49;157,21;157,21;154,89;154,89;154,89;256,96;382,98;382,98;256,96
04/01/2016;18 - 19;162,28;153,25;153,25;153,25;153,25;257,03;153,25;153,25;153,25;153,25;153,25;153,25;153,25;153,25;257,03;382,9;382,9;257,03
04/01/2016;19 - 20;152,36;147,51;147,51;147,51;147,51;256,89;147,51;147,51;147,51;147,51;147,51;147,51;147,51;147,51;256,89;382,9;382,9;256,89
04/01/2016;20 - 21;145,04;142,13;142,13;142,13;142,13;250,25;142,13;142,13;142,13;142,13;142,13;142,13;142,13;142,13;250,25;358,66;358,66;250,25
04/01/2016;21 - 22;140,64;138,03;138,03;138,03;138,03;245,92;138,03;138,03;138,03;138,03;138,03;138,03;138,03;138,03;245,92;358,13;358,13;245,92
04/01/2016;22 - 23;133,63;132,14;132,14;132,14;132,14;178,77;132,14;132,14;132,14;132,14;132,14;132,14;132,14;132,14;178,77;260,99;260,99;178,77
04/01/2016;23 - 00;127,44;127,06;127,06;127,06;127,06;142,51;127,06;127,06;127,06;127,06;127,06;127,06;127,06;127,06;142,51;230,92;230,92;142,51
05/01/2016;00 - 01;131,92;131,92;131,92;131,92;131,92;131,92;131,92;131,92;131,92;131,92;131,92;131,92;131,92;131,92;131,92;226,98;226,98;131,92
05/01/2016;01 - 02;129,31;129,31;129,31;129,31;129,31;129,31;129,31;129,31;129,31;129,31;129,31;129,31;129,31;129,31;129,31;216,91;216,91;129,31
05/01/2016;02 - 03;128,64;128,64;128,64;128,64;128,64;128,64;128,64;128,64;128,64;128,64;128,64;128,64;128,64;128,64;128,64;224,29;224,29;128,64
05/01/2016;03 - 04;129,23;129,23;129,23;129,23;129,23;129,23;129,23;129,23;129,23;129,23;129,23;129,23;129,23;129,23;129,23;224,37;224,37;129,23
05/01/2016;04 - 05;131,77;131,77;131,77;131,77;131,77;131,77;131,77;131,77;131,77;131,77;131,77;131,77;131,77;131,77;131,77;234,59;234,59;131,77
05/01/2016;05 - 06;135,95;133,71;133,71;133,71;133,71;246,15;133,71;133,71;133,71;133,71;133,71;133,71;133,71;133,71;246,15;280,4;280,4;246,15
